carid,vehicle,year,msrp,accelrate,mpg,mpgmpge,class
1,Prius (1st Gen),1997,24509.74,7.46,41.26,41.26,C
2,Tino,2000,35354.97,8.2,54.1,54.1,C
3,Prius (2nd Gen),2000,26832.25,7.97,45.23,45.23,C
4,Insight,2000,18936.41,9.52,53,53,TS
5,Civic (1st Gen),2001,25833.38,7.04,47.04,47.04,C
6,Insight,2001,19036.71,9.52,53,53,TS
7,Insight,2002,19137.01,9.71,53,53,TS
8,Alphard,2003,38084.77,8.33,40.46,40.46,MV
9,Insight,2003,19137.01,9.52,53,53,TS
10,Civic,2003,14071.92,8.62,41,41,C
11,Escape,2004,36676.10,10.32,31.99,31.99,SUV
12,Insight,2004,19237.31,9.35,52,52,TS
13,Prius,2004,20355.64,9.9,46,46,M
14,Silverado 15 2WD,2004,30089.64,9.09,17,17,PT
15,Lexus RX400h,2005,58521.14,12.76,28.23,28.23,SUV
16,Civic (2nd Gen),2005,26354.44,7.63,39.99,39.99,C
17,Highlander,2005,29186.21,12.76,29.4,29.4,SUV
18,Insight,2005,19387.76,9.71,52,52,TS
19,Civic,2005,18236.33,8.26,41,41,C
20,Escape 2WD,2005,19322.56,9.52,29,29,SUV
21,Accord,2005,16343.69,14.93,28,28,M
22,Silverado 15 2WD,2005,32647.26,11.11,17,17,PT
23,Mercury Mariner,2006,34772.40,8.98,32.93,32.93,SUV
24,Camry,2006,29853.25,11.28,33.64,33.64,M
25,Lexus GS450h,2006,64547.56,18.65,33.4,33.4,M
26,Estima,2006,36012.70,9.26,47.04,47.04,MV
27,Altima,2006,29524.75,13.29,32.93,32.93,M
28,Chevrolet Tahoe,2007,42924.35,10.91,22.35,22.35,SUV
29,Kluger,2007,46229.48,12.76,25.87,25.87,SUV
30,Lexus LS600h/hL,2007,118543.60,17.54,21,21,M
31,Tribute,2007,24823.83,11.28,31.75,31.75,SUV
32,GMC Yukon,2007,57094.81,12.28,21.78,21.78,SUV
33,Aura,2007,22110.87,10.87,27,27,M
34,Vue,2007,22938.33,10.75,26,26,SUV
35,Silverado 15 2WD,2007,34653.23,11.49,17,17,PT
36,Crown,2008,62290.38,8.7,37.16,37.16,M
37,Cadillac Escalade,2008,78932.81,9.09,22.35,22.35,SUV
38,F3DM,2008,23744.06,9.52,30.11,85,M
39,Altima,2008,18675.63,13.7,34,34,M
40,A5 BSG,2009,11849.43,7.87,35.28,35.28,M
41,Lexus RX450h,2009,46233.36,13.47,31.99,31.99,SUV
42,ML450 Blue HV,2009,60519.83,12.6,23.99,23.99,SUV
43,Prius (3rd Gen),2009,24641.18,9.6,47.98,47.98,C
44,S400 Long,2009,96208.93,13.89,26.34,26.34,L
45,Mercury Milan,2009,30522.57,11.55,40.69,40.69,M
46,Lexus HS250h,2009,38478.15,11.55,54.1,54.1,C
47,Avante/Elantra LPI,2009,21872.71,10.21,41.87,41.87,C
48,ActiveHybrid X6,2009,97237.90,17.96,18.82,18.82,SUV
49,SAI,2009,39172.44,11.55,54.1,54.1,M
50,Malibu,2009,24768.79,9.09,29,29,M
51,Vue,2009,26408.67,13.7,28,28,SUV
52,Aspen HEV,2009,44903.77,13.51,21,21,SUV
53,Durango,2009,41033.24,8.33,21,21,SUV
54,Auris HSD,2010,35787.29,8.85,68.21,68.21,C
55,CR-Z,2010,21435.54,9.24,37,37,TS
56,F3DM PHEV,2010,23124.59,9.24,30.15,85,M
57,Touareg,2010,64198.95,15.38,28.7,28.7,SUV
58,Audi Q5,2010,37510.86,14.08,33.64,33.64,SUV
59,Jeep Patriot,2010,17045.06,12.05,29.4,38,SUV
60,Besturn B50  ,2010,14586.61,7.14,31.28,31.28,M
61,ActiveHybrid 7,2010,104300.43,20.41,22.11,22.11,L
62,Lincoln MKZ,2010,37036.64,11.15,37.63,37.63,M
63,Fit/Jazz,2010,16911.85,8.26,30,30,C
64,Sonata,2010,28287.66,14.7,37,37,M
65,Cayenne S,2010,73183.47,14.71,26.11,26.11,SUV
66,Insight,2010,19859.16,9.17,41,41,C
67,Fuga Infiniti M35H,2010,70157.02,18.65,33.64,33.64,M
68,Chevrolet Volt,2010,42924.35,10.78,35,93,C
69,Tribute 4WD,2010,27968.32,12.35,29,29,SUV
70,Fusion FWD,2010,28033.51,11.49,39,39,M
71,HS 250h,2010,34753.53,11.76,35,35,C
72,Mariner FWD,2010,30194.95,11.63,32,32,SUV
73,RX 450h,2010,42812.54,13.89,30,30,SUV
74,ML450 4natic,2010,55164.33,12.99,22,22,SUV
75,Silverado 15 2WD,2010,38454.56,11.76,22,22,PT
76,S400,2010,88212.78,12.99,21,21,L
77,Aqua,2011,22850.87,9.35,50,50,C
78,Lexus CT200h,2011,30082.16,9.71,42,42,C
79,Civic (3rd Gen),2011,24999.59,9.6,44.36,44.36,C
80,Prius alpha (V),2011,30588.35,10,72.92,72.92,M
81,3008,2011,45101.54,11.36,61.16,61.16,C
82,Fit Shuttle,2011,16394.36,7.52,58.8,58.8,MV
83,Buick Regal,2011,27948.93,12.05,25.99,25.99,M
84,Prius V,2011,27272.28,9.51,32.93,32.93,M
85,Freed/Freed Spike,2011,27972.07,6.29,50.81,50.81,MV
86,Optima K5,2011,26549.16,10.54,36,36,M
87,Escape FWD,2011,30661.34,12.35,32,32,SUV
88,Insight,2011,18254.38,9.52,41,41,C
89,MKZ FWD,2011,34748.52,11.49,39,39,M
90,CR-Z,2011,19402.80,12.2,37,37,TS
91,Sonata,2011,25872.07,11.9,36,36,M
92,Camry,2011,27130.82,13.89,33,33,M
93,Tribute 2WD,2011,26213.09,12.5,32,32,SUV
94,Cayenne S,2011,67902.28,18.52,21,21,SUV
95,Touareg,2011,50149.39,16.13,21,21,SUV
96,ActiveHybrid 7i,2011,102605.66,18.18,20,20,M
97,Prius C,2012,19006.62,9.35,50,50,C
98,Prius PHV,2012,32095.61,8.82,50,95,M
99,Ampera,2012,31739.55,11.11,37,98,C
100,ActiveHybrid 5,2012,62180.23,16.67,26,26,M
101,Lexus GS450h,2012,59126.14,16.95,31,31,M
102,Insight,2012,18555.28,9.42,42,42,C
103,Chevrolet Volt,2012,39261.96,11.11,37,94,C
104,Camry LE,2012,26067.66,13.16,41,41,M
105,MKZ FWD,2012,34858.84,11.49,39,39,M
106,M35h,2012,53860.45,19.23,29,29,M
107,LaCrosse,2012,30049.52,11.36,29,29,M
108,ActiveHybrid 5,2012,61132.11,17.54,26,26,M
109,Panamera S,2012,95283.85,17.54,25,25,L
110,Yukon 1500,2012,52626.77,13.5,21,21,SUV
111,Prius C,2013,19080.00,8.7,50,50,C
112,Jetta,2013,24995.00,12.66,45,45,C
113,Civic,2013,24360.00,10.2,44,44,C
114,Prius,2013,24200.00,10.2,50,50,M
115,Fusion FWD,2013,27200.00,11.72,47,47,M
116,C-Max FWD,2013,25200.00,12.35,43,43,L
117,Insight,2013,18600.00,11.76,42,42,C
118,Camry LE,2013,26140.00,13.51,41,41,M
119,Camry LXLE,2013,27670.00,13.33,40,40,M
120,Sonata,2013,25650.00,11.76,38,38,M
121,Optima,2013,25900.00,11.63,38,38,M
122,Sonata Limited,2013,30550.00,11.76,37,37,M
123,Optima EX,2013,31950.00,11.36,37,37,M
124,Malibu,2013,24985.00,11.49,29,29,M
125,LaCrosse,2013,31660.00,11.36,29,29,M
126,Regal,2013,29015.00,12.2,29,29,M
127,RX 450h,2013,46310.00,12.99,30,30,SUV
128,Highlander 4WD,2013,40170.00,13.89,28,28,SUV
129,Q5,2013,50900.00,14.71,26,26,SUV
130,Cayenne S,2013,69850.00,16.39,21,21,SUV
131,Touareg,2013,62575.00,16.13,21,21,SUV
132,Escalade 2WD,2013,74425.00,11.63,21,21,SUV
133,Tahoe 2WD,2013,53620.00,11.9,21,21,SUV
134,Yukon 1500,2013,54145.00,11.88,21,21,SUV
135,Yukon 1500,2013,61960.00,13.33,21,21,SUV
137,MKZ FWD,2013,35925.00,14.03,45,45,M
138,CT 200h,2013,32050.00,10.31,42,42,C
139,ES 300h,2013,39250.00,12.35,40,40,M
140,ILX,2013,28900.00,9.26,38,38,C
141,ActiveHybrid 3,2013,49650.00,14.93,28,28,C
142,Silverado 15 2WD,2013,41135.00,12.35,21,21,PT
143,Sierra 15 2WD,2013,41555.00,10,21,21,PT
144,GS 450h,2013,59450.00,16.67,31,31,M
145,M35h,2013,54750.00,19.61,29,29,M
146,E400,2013,55800.00,14.93,26,26,M
147,ActiveHybrid 5,2013,61400.00,12.99,26,26,M
148,ActiveHybrid 7L,2013,84300.00,18.18,25,25,L
149,Panamera S,2013,96150.00,18.52,25,25,L
150,S400,2013,92350.00,13.89,21,21,L
151,Prius Plug-in,2013,32000.00,9.17,50,95,M
152,C-Max Energi Plug-in,2013,32950.00,11.76,43,100,M
153,Fusion Energi Plug-in,2013,38700.00,11.76,43,100,M
154,Chevrolet Volt,2013,39145.00,11.11,37,98,C
