State,Race/Ethnicity,Population
Alabama,White,3167600
Alabama,Black,1269200
Alabama,Hispanic,191000
Alabama,Asian,77300
Alabama,American Indian/Alaska Native,0
Alabama,Two Or More Races,56100
Alabama,Total,4768000
Alaska,White,396400
Alaska,Black,17000
Alaska,Hispanic,59200
Alaska,Asian,67200
Alaska,American Indian/Alaska Native,109900
Alaska,Two Or More Races,45900
Alaska,Total,695700
Arizona,White,3243200
Arizona,Black,274300
Arizona,Hispanic,2580500
Arizona,Asian,257600
Arizona,American Indian/Alaska Native,212500
Arizona,Two Or More Races,89100
Arizona,Total,6657200
Arkansas,White,2096500
Arkansas,Black,456900
Arkansas,Hispanic,198900
Arkansas,Asian,0
Arkansas,American Indian/Alaska Native,14800
Arkansas,Two Or More Races,65600
Arkansas,Total,2896000
California,White,15172800
California,Black,2068500
California,Hispanic,14786000
California,Asian,5662400
California,American Indian/Alaska Native,198600
California,Two Or More Races,813100
California,Total,38701300
Colorado,White,3768000
Colorado,Black,210400
Colorado,Hispanic,1113700
Colorado,Asian,124400
Colorado,American Indian/Alaska Native,0
Colorado,Two Or More Races,111300
Colorado,Total,5377400
Connecticut,White,2542900
Connecticut,Black,313400
Connecticut,Hispanic,471800
Connecticut,Asian,210500
Connecticut,American Indian/Alaska Native,0
Connecticut,Two Or More Races,33500
Connecticut,Total,3577900
Delaware,White,587400
Delaware,Black,186100
Delaware,Hispanic,97100
Delaware,Asian,40300
Delaware,American Indian/Alaska Native,0
Delaware,Two Or More Races,15300
Delaware,Total,929500
District of Columbia,White,241600
District of Columbia,Black,305900
District of Columbia,Hispanic,71100
District of Columbia,Asian,26600
District of Columbia,American Indian/Alaska Native,0
District of Columbia,Two Or More Races,11000
District of Columbia,Total,656900
Florida,White,10927500
Florida,Black,3106100
Florida,Hispanic,4916600
Florida,Asian,563000
Florida,American Indian/Alaska Native,0
Florida,Two Or More Races,185300
Florida,Total,19731100
Georgia,White,5316500
Georgia,Black,3073600
Georgia,Hispanic,959500
Georgia,Asian,409100
Georgia,American Indian/Alaska Native,0
Georgia,Two Or More Races,187700
Georgia,Total,9965100
Hawaii,White,255800
Hawaii,Black,29700
Hawaii,Hispanic,124100
Hawaii,Asian,723100
Hawaii,American Indian/Alaska Native,0
Hawaii,Two Or More Races,229500
Hawaii,Total,1365400
Idaho,White,1321900
Idaho,Black,13200
Idaho,Hispanic,204900
Idaho,Asian,22300
Idaho,American Indian/Alaska Native,0
Idaho,Two Or More Races,26400
Idaho,Total,1610200
Illinois,White,8240200
Illinois,Black,1673000
Illinois,Hispanic,2022400
Illinois,Asian,712800
Illinois,American Indian/Alaska Native,0
Illinois,Two Or More Races,141000
Illinois,Total,12797900
Indiana,White,5080300
Indiana,Black,604700
Indiana,Hispanic,557700
Indiana,Asian,162400
Indiana,American Indian/Alaska Native,0
Indiana,Two Or More Races,63200
Indiana,Total,6477500
Iowa,White,2712100
Iowa,Black,94100
Iowa,Hispanic,158900
Iowa,Asian,79300
Iowa,American Indian/Alaska Native,0
Iowa,Two Or More Races,0
Iowa,Total,3080800
Kansas,White,2144300
Kansas,Black,156900
Kansas,Hispanic,331100
Kansas,Asian,127200
Kansas,American Indian/Alaska Native,0
Kansas,Two Or More Races,62700
Kansas,Total,2853000
Kentucky,White,3644700
Kentucky,Black,326100
Kentucky,Hispanic,193400
Kentucky,Asian,117800
Kentucky,American Indian/Alaska Native,0
Kentucky,Two Or More Races,27400
Kentucky,Total,4315700
Louisiana,White,2639700
Louisiana,Black,1434500
Louisiana,Hispanic,273200
Louisiana,Asian,99400
Louisiana,American Indian/Alaska Native,0
Louisiana,Two Or More Races,89100
Louisiana,Total,4556500
Maine,White,1192800
Maine,Black,18500
Maine,Hispanic,18700
Maine,Asian,22800
Maine,American Indian/Alaska Native,0
Maine,Two Or More Races,36000
Maine,Total,1299600
Maryland,White,3185300
Maryland,Black,1709200
Maryland,Hispanic,501900
Maryland,Asian,355800
Maryland,American Indian/Alaska Native,0
Maryland,Two Or More Races,178600
Maryland,Total,5938900
Massachusetts,White,4820900
Massachusetts,Black,496500
Massachusetts,Hispanic,724400
Massachusetts,Asian,501900
Massachusetts,American Indian/Alaska Native,0
Massachusetts,Two Or More Races,107700
Massachusetts,Total,6658100
Michigan,White,7393600
Michigan,Black,1351800
Michigan,Hispanic,586200
Michigan,Asian,343800
Michigan,American Indian/Alaska Native,0
Michigan,Two Or More Races,208400
Michigan,Total,9906400
Minnesota,White,4258100
Minnesota,Black,318300
Minnesota,Hispanic,299800
Minnesota,Asian,287700
Minnesota,American Indian/Alaska Native,0
Minnesota,Two Or More Races,123200
Minnesota,Total,5418500
Mississippi,White,1699800
Mississippi,Black,1091000
Mississippi,Hispanic,103300
Mississippi,Asian,0
Mississippi,American Indian/Alaska Native,0
Mississippi,Two Or More Races,27600
Mississippi,Total,2965300
Missouri,White,4821900
Missouri,Black,697400
Missouri,Hispanic,218900
Missouri,Asian,86000
Missouri,American Indian/Alaska Native,0
Missouri,Two Or More Races,118400
Missouri,Total,5961300
Montana,White,910900
Montana,Black,6300
Montana,Hispanic,34300
Montana,Asian,0
Montana,American Indian/Alaska Native,31800
Montana,Two Or More Races,19700
Montana,Total,1009100
Nebraska,White,1479900
Nebraska,Black,82500
Nebraska,Hispanic,214600
Nebraska,Asian,48400
Nebraska,American Indian/Alaska Native,0
Nebraska,Two Or More Races,23600
Nebraska,Total,1881000
Nevada,White,1417000
Nevada,Black,246400
Nevada,Hispanic,778900
Nevada,Asian,240300
Nevada,American Indian/Alaska Native,0
Nevada,Two Or More Races,74600
Nevada,Total,2823400
New Hampshire,White,1211100
New Hampshire,Black,16800
New Hampshire,Hispanic,38000
New Hampshire,Asian,37000
New Hampshire,American Indian/Alaska Native,0
New Hampshire,Two Or More Races,15400
New Hampshire,Total,1319700
New Jersey,White,5193800
New Jersey,Black,1188000
New Jersey,Hispanic,1660800
New Jersey,Asian,780100
New Jersey,American Indian/Alaska Native,0
New Jersey,Two Or More Races,82700
New Jersey,Total,8939300
New Mexico,White,813900
New Mexico,Black,35700
New Mexico,Hispanic,872600
New Mexico,Asian,0
New Mexico,American Indian/Alaska Native,245300
New Mexico,Two Or More Races,16800
New Mexico,Total,2035200
New York,White,11179200
New York,Black,2639500
New York,Hispanic,3496900
New York,Asian,1983500
New York,American Indian/Alaska Native,0
New York,Two Or More Races,295900
New York,Total,19679400
North Carolina,White,6085000
North Carolina,Black,2099800
North Carolina,Hispanic,949100
North Carolina,Asian,283700
North Carolina,American Indian/Alaska Native,0
North Carolina,Two Or More Races,176900
North Carolina,Total,9835800
North Dakota,White,645900
North Dakota,Black,14600
North Dakota,Hispanic,22300
North Dakota,Asian,13300
North Dakota,American Indian/Alaska Native,28100
North Dakota,Two Or More Races,9300
North Dakota,Total,733400
Ohio,White,9202600
Ohio,Black,1397100
Ohio,Hispanic,380100
Ohio,Asian,224400
Ohio,American Indian/Alaska Native,0
Ohio,Two Or More Races,297600
Ohio,Total,11535600
Oklahoma,White,2527200
Oklahoma,Black,279800
Oklahoma,Hispanic,407700
Oklahoma,Asian,74100
Oklahoma,American Indian/Alaska Native,299500
Oklahoma,Two Or More Races,153500
Oklahoma,Total,3741700
Oregon,White,2991700
Oregon,Black,75200
Oregon,Hispanic,487800
Oregon,Asian,234700
Oregon,American Indian/Alaska Native,0
Oregon,Two Or More Races,134500
Oregon,Total,3962300
Pennsylvania,White,9740400
Pennsylvania,Black,1318400
Pennsylvania,Hispanic,938400
Pennsylvania,Asian,383500
Pennsylvania,American Indian/Alaska Native,0
Pennsylvania,Two Or More Races,227600
Pennsylvania,Total,12627100
Rhode Island,White,804900
Rhode Island,Black,60200
Rhode Island,Hispanic,127900
Rhode Island,Asian,39200
Rhode Island,American Indian/Alaska Native,0
Rhode Island,Two Or More Races,11800
Rhode Island,Total,1048200
South Carolina,White,3065400
South Carolina,Black,1290200
South Carolina,Hispanic,268900
South Carolina,Asian,64800
South Carolina,American Indian/Alaska Native,0
South Carolina,Two Or More Races,57600
South Carolina,Total,4764300
South Dakota,White,715800
South Dakota,Black,15400
South Dakota,Hispanic,18900
South Dakota,Asian,0
South Dakota,American Indian/Alaska Native,69900
South Dakota,Two Or More Races,18300
South Dakota,Total,846800
Tennessee,White,4795100
Tennessee,Black,1103100
Tennessee,Hispanic,393400
Tennessee,Asian,95200
Tennessee,American Indian/Alaska Native,0
Tennessee,Two Or More Races,0
Tennessee,Total,6502000
Texas,White,11706900
Texas,Black,3178400
Texas,Hispanic,10198500
Texas,Asian,1155100
Texas,American Indian/Alaska Native,60000
Texas,Two Or More Races,388400
Texas,Total,26687400
Utah,White,2375900
Utah,Black,36600
Utah,Hispanic,360100
Utah,Asian,105900
Utah,American Indian/Alaska Native,0
Utah,Two Or More Races,30700
Utah,Total,2929400
Vermont,White,580600
Vermont,Black,6700
Vermont,Hispanic,8400
Vermont,Asian,9900
Vermont,American Indian/Alaska Native,0
Vermont,Two Or More Races,10300
Vermont,Total,617000
Virginia,White,5228200
Virginia,Black,1552400
Virginia,Hispanic,701800
Virginia,Asian,614500
Virginia,American Indian/Alaska Native,0
Virginia,Two Or More Races,156000
Virginia,Total,8258800
Washington,White,4927500
Washington,Black,272100
Washington,Hispanic,952600
Washington,Asian,548400
Washington,American Indian/Alaska Native,115700
Washington,Two Or More Races,268700
Washington,Total,7085000
West Virginia,White,1682700
West Virginia,Black,62600
West Virginia,Hispanic,22000
West Virginia,Asian,0
West Virginia,American Indian/Alaska Native,0
West Virginia,Two Or More Races,41400
West Virginia,Total,1825500
Wisconsin,White,4704400
Wisconsin,Black,324800
Wisconsin,Hispanic,466500
Wisconsin,Asian,107800
Wisconsin,American Indian/Alaska Native,0
Wisconsin,Two Or More Races,95400
Wisconsin,Total,5747200
Wyoming,White,494600
Wyoming,Black,5900
Wyoming,Hispanic,49400
Wyoming,Asian,0
Wyoming,American Indian/Alaska Native,6800
Wyoming,Two Or More Races,10500
Wyoming,Total,572000
