Name,Position,Height,Weight,Age in 2013
DeQuan Jones,Guard,80,221,23
Darius Miller,Guard,80,235,23
Trevor Ariza,Guard,80,210,28
James Jones,Guard,80,215,32
Wesley Johnson,Guard,79,215,26
Klay Thompson,Guard,79,205,23
Thabo Sefolosha,Guard,79,215,29
Chase Budinger,Guard,79,218,25
Kevin Martin,Guard,79,185,30
Evan Fournier,Guard,79,206,20
Ronnie Brewer,Guard,79,235,28
Ricky Ledo,Guard,79,197,21
James Ennis,Guard,79,201,23
Kyle Korver,Guard,79,212,32
Sergey Karasev,Guard,79,197,19
DeMar DeRozan,Guard,79,217,24
Shaun Livingston,Guard,79,185,28
Joe Johnson,Guard,79,240,32
Greivis Vasquez,Guard,78,211,26
Kobe Bryant,Guard,78,205,35
Nick Young,Guard,78,200,28
Alec Burks,Guard,78,195,22
Allen Crabbe,Guard,78,200,21
Will Barton,Guard,78,174,22
Alexey Shved,Guard,78,190,24
Shabazz Muhammad,Guard,78,225,20
Danny Green,Guard,78,210,26
Tyreke Evans,Guard,78,220,24
Nick Calathes,Guard,78,194,24
Reggie Williams,Guard,78,205,27
D.J. Kennedy,Guard,78,215,23
Garrett Temple,Guard,78,195,27
Glen Rice Jr.,Guard,78,211,22
Damien Wilkins,Guard,78,225,33
Kentavious Caldwell-Pope,Guard,78,205,20
Carrick Felix,Guard,78,200,23
C.J. Miles,Guard,78,222,26
Julyan Stone,Guard,78,200,24
Jason Richardson,Guard,78,225,32
Michael Carter-Williams,Guard,78,185,21
Tony Wroten,Guard,78,208,20
James Anderson,Guard,78,215,24
Iman Shumpert,Guard,78,220,23
Tim Hardaway Jr.,Guard,78,205,21
Ben McLemore,Guard,77,195,20
Trent Lockett,Guard,77,210,22
Malcolm Lee,Guard,77,200,23
Archie Goodwin,Guard,77,189,19
Dionte Christmas,Guard,77,205,27
Jamal Crawford,Guard,77,200,33
Kent Bazemore,Guard,77,201,24
Elliot Williams,Guard,77,183,24
Wesley Matthews,Guard,77,220,26
Jeremy Lamb,Guard,77,180,21
Lorenzo Brown,Guard,77,189,23
Nando De Colo,Guard,77,200,26
Marco Belinelli,Guard,77,200,27
Roger Mason Jr.,Guard,77,205,33
Anthony Morrow,Guard,77,210,27
Jamaal Franklin,Guard,77,205,22
James Harden,Guard,77,220,24
Victor Oladipo,Guard,77,214,21
Arron Afflalo,Guard,77,215,27
Ray Allen,Guard,77,205,38
Orlando Johnson,Guard,77,220,24
Lance Stephenson,Guard,77,210,23
Ron Howard,Guard,77,200,30
Rodney Stuckey,Guard,77,205,27
Daequan Cook,Guard,77,210,26
Vander Blue,Guard,77,197,21
MarShon Brooks,Guard,77,200,24
Courtney Lee,Guard,77,200,27
Keith Bogans,Guard,77,215,33
Marcus Thornton,Guard,76,205,26
Shannon Brown,Guard,76,210,27
Kendall Marshall,Guard,76,195,22
Diante Garrett,Guard,76,190,24
Jodie Meeks,Guard,76,208,26
J.J. Redick,Guard,76,190,29
Terrel Harris,Guard,76,190,26
Ricky Rubio,Guard,76,180,22
Randy Foye,Guard,76,213,29
Austin Rivers,Guard,76,200,21
Jrue Holiday,Guard,76,180,23
Tony Allen,Guard,76,213,31
Gal Mekel,Guard,76,200,25
Wayne Ellington,Guard,76,200,25
Bradley Beal,Guard,76,207,20
John Wall,Guard,76,195,23
E`Twaun Moore,Guard,76,191,24
Doron Lamb,Guard,76,210,21
Dwyane Wade,Guard,76,220,31
Gerald Henderson,Guard,76,215,25
John Jenkins,Guard,76,220,22
Jared Cunningham,Guard,76,185,22
Royal Ivey,Guard,76,215,31
Gary Neal,Guard,76,210,28
Nate Wolters,Guard,76,190,22
O.J. Mayo,Guard,76,210,25
Dion Waiters,Guard,76,215,21
Matthew Dellavedova,Guard,76,185,23
Kirk Hinrich,Guard,76,190,32
Carlos Morais,Guard,76,190,27
Khalif Wyatt,Guard,76,210,22
Jordan Crawford,Guard,76,195,24
Ray McCallum,Guard,75,190,22
Goran Dragic,Guard,75,190,27
Steve Nash,Guard,75,178,39
Steve Blake,Guard,75,172,33
Willie Green,Guard,75,201,32
Stephen Curry,Guard,75,185,25
Nemanja Nedovic,Guard,75,191,22
Jerel McNeal,Guard,75,196,26
Jamaal Tinsley,Guard,75,185,35
Ian Clark,Guard,75,175,22
C.J. McCollum,Guard,75,197,22
Damian Lillard,Guard,75,195,23
Reggie Jackson,Guard,75,208,23
Russell Westbrook,Guard,75,187,24
Erick Green,Guard,75,185,22
Cory Joseph,Guard,75,185,21
Eric Gordon,Guard,75,215,24
Keyon Dooling,Guard,75,195,33
Jerryd Bayless,Guard,75,200,25
B.J. Young,Guard,75,180,20
Jeremy Lin,Guard,75,200,25
Devin Harris,Guard,75,190,30
Monta Ellis,Guard,75,185,27
Jose Calderon,Guard,75,211,31
Eric Maynor,Guard,75,175,26
Ben Gordon,Guard,75,200,30
Ramon Sessions,Guard,75,190,27
Shelvin Mack,Guard,75,215,24
Brandon Knight,Guard,75,189,21
Ben Hansbrough,Guard,75,203,25
Donald Sloan,Guard,75,205,25
Chauncey Billups,Guard,75,202,36
Kyrie Irving,Guard,75,191,21
Jarrett Jack,Guard,75,197,29
Derrick Rose,Guard,75,190,24
Dwight Buycks,Guard,75,190,24
Charles Jenkins,Guard,75,220,24
Pablo Prigioni,Guard,75,180,36
Beno Udrih,Guard,75,205,31
Tyshawn Taylor,Guard,75,185,23
Deron Williams,Guard,75,209,29
Jimmer Fredette,Guard,74,195,24
Jordan Farmar,Guard,74,180,26
Seth Curry,Guard,74,185,23
Toney Douglas,Guard,74,185,27
Nolan Smith,Guard,74,185,25
Dee Bost,Guard,74,170,23
Andre Miller,Guard,74,200,37
Tony Parker,Guard,74,180,31
Ronnie Price,Guard,74,187,30
Norris Cole,Guard,74,170,24
Mario Chalmers,Guard,74,190,27
Dennis Schroeder,Guard,74,168,20
Jeff Teague,Guard,74,181,25
Luke Ridnour,Guard,74,175,32
C.J. Watson,Guard,74,175,29
George Hill,Guard,74,180,27
Daniel Gibson,Guard,74,200,27
Marquis Teague,Guard,74,189,20
Chris Smith,Guard,74,195,25
Jason Terry,Guard,74,180,36
Avery Bradley,Guard,74,180,22
Eric Bledsoe,Guard,73,195,23
Maalik Wayns,Guard,73,195,22
Trey Burke,Guard,73,185,20
Mo Williams,Guard,73,195,30
Earl Watson,Guard,73,195,34
Derek Fisher,Guard,73,210,39
Brian Roberts,Guard,73,180,27
Mike Conley,Guard,73,185,25
Patrick Beverley,Guard,73,180,25
Kemba Walker,Guard,73,172,23
Jannero Pargo,Guard,73,185,33
Lou Williams,Guard,73,175,26
Peyton Siva,Guard,73,181,22
Brandon Jennings,Guard,73,169,23
Raymond Felton,Guard,73,205,29
Rajon Rondo,Guard,73,171,27
Ish Smith,Guard,72,175,25
Chris Paul,Guard,72,175,28
Darren Collison,Guard,72,160,26
J.J. Barea,Guard,72,175,29
Patty Mills,Guard,72,185,25
Isaiah Canaan,Guard,72,198,22
Aaron Brooks,Guard,72,161,28
Mickey McConnell,Guard,72,189,24
Jameer Nelson,Guard,72,190,31
Will Bynum,Guard,72,185,30
Sebastian Telfair,Guard,72,175,28
Kyle Lowry,Guard,72,205,27
D.J. Augustin,Guard,72,180,25
John Lucas III,Guard,71,157,30
Ty Lawson,Guard,71,195,25
Shane Larkin,Guard,71,176,20
Phil Pressey,Guard,71,175,22
Isaiah Thomas,Guard,69,185,24
Nate Robinson,Guard,69,180,29
Pau Gasol,Forward,84,250,33
Jason Smith,Forward,84,240,27
Donatas Motiejunas,Forward,84,222,23
Dirk Nowitzki,Forward,84,245,35
Cody Zeller,Forward,84,230,20
Jason Thompson,Forward,83,250,27
Channing Frye,Forward,83,245,30
Ryan Kelly,Forward,83,230,22
LaMarcus Aldridge,Forward,83,240,28
Jared Jeffries,Forward,83,240,31
Perry Jones III,Forward,83,235,21
Anthony Randolph,Forward,83,225,24
Joffrey Lauvergne,Forward,83,235,21
Nene,Forward,83,250,31
Jan Vesely,Forward,83,240,23
Charlie Villanueva,Forward,83,232,29
Austin Daye,Forward,83,200,25
Arnett Moultrie,Forward,83,230,22
Tim Ohlbrecht,Forward,83,255,25
Kevin Garnett,Forward,83,253,37
Markieff Morris,Forward,82,245,24
Miles Plumlee,Forward,82,245,25
Jordan Hill,Forward,82,235,26
Blake Griffin,Forward,82,251,24
Lamar Odom,Forward,82,230,33
Derrick Favors,Forward,82,246,22
Thomas Robinson,Forward,82,237,22
Grant Jerrett,Forward,82,232,20
Serge Ibaka,Forward,82,235,24
Nick Collison,Forward,82,255,32
Kevin Love,Forward,82,250,25
Danilo Gallinari,Forward,82,225,25
Aron Baynes,Forward,82,260,26
Matt Bonner,Forward,82,235,33
Ryan Anderson,Forward,82,240,25
Anthony Davis,Forward,82,220,20
Jon Leuer,Forward,82,228,24
Greg Smith,Forward,82,250,22
Hedo Turkoglu,Forward,82,220,34
Kyle O`Quinn,Forward,82,240,23
Rashard Lewis,Forward,82,230,34
Michael Beasley,Forward,82,235,24
Tyrus Thomas,Forward,82,225,27
Josh McRoberts,Forward,82,240,26
Al Horford,Forward,82,245,27
Gustavo Ayon,Forward,82,250,28
Pero Antic,Forward,82,260,31
Ersan Ilyasova,Forward,82,235,26
Jonas Jerebko,Forward,82,231,26
Earl Clark,Forward,82,225,25
Vladimir Radmanovic,Forward,82,235,32
Erik Murphy,Forward,82,230,22
Steve Novak,Forward,82,240,30
Amare Stoudemire,Forward,82,240,30
Jeremy Tyler,Forward,82,260,22
James Johnson,Forward,81,248,26
Travis Outlaw,Forward,81,207,29
Carl Landry,Forward,81,248,30
Patrick Patterson,Forward,81,235,24
Marcus Morris,Forward,81,235,24
Alex Oriakhi,Forward,81,255,23
Shawne Williams,Forward,81,230,27
Antawn Jamison,Forward,81,235,37
Brandon Davies,Forward,81,235,22
David Lee,Forward,81,240,30
Jeremy Evans,Forward,81,196,25
Marvin Williams,Forward,81,240,27
Victor Claver,Forward,81,235,25
Dorell Wright,Forward,81,205,27
Kevin Durant,Forward,81,230,24
Bojan Dubljevic,Forward,81,240,21
Corey Brewer,Forward,81,188,27
Quincy Miller,Forward,81,210,20
J.J. Hickson,Forward,81,242,25
Jeff Ayres,Forward,81,240,26
Livio Jean-Charles,Forward,81,217,19
Lou Amundson,Forward,81,225,30
Arinze Onuaku,Forward,81,261,26
Al-Farouq Aminu,Forward,81,215,22
Zach Randolph,Forward,81,260,32
Tayshaun Prince,Forward,81,215,33
Willie Reed,Forward,81,207,23
Robert Covington,Forward,81,204,22
Chandler Parsons,Forward,81,200,24
Omri Casspi,Forward,81,225,25
Terrence Jones,Forward,81,252,21
Devin Ebanks,Forward,81,215,23
Otto Porter,Forward,81,200,20
Al Harrington,Forward,81,250,33
Andrew Nicholson,Forward,81,250,23
Glen Davis,Forward,81,289,27
Jarvis Varnado,Forward,81,230,15
Juwan Howard,Forward,81,250,40
Elton Brand,Forward,81,254,34
Giannis Antetokounmpo,Forward,81,205,18
Chris Copeland,Forward,81,235,29
David West,Forward,81,240,33
Darnell Jackson,Forward,81,253,27
Luigi Datome,Forward,81,210,25
Tony Mitchell,Forward,81,236,21
Josh Smith,Forward,81,225,27
Tristan Thompson,Forward,81,227,22
Mike Dunleavy,Forward,81,230,33
Taj Gibson,Forward,81,225,28
Luol Deng,Forward,81,220,28
Carlos Boozer,Forward,81,266,31
Amir Johnson,Forward,81,237,26
Tyler Hansbrough,Forward,81,250,27
Furkan Aldemir,Forward,81,220,22
Kenyon Martin,Forward,81,240,35
C.J. Leslie,Forward,81,209,22
Andrei Kirilenko,Forward,81,235,32
Tornike Shengelia,Forward,81,217,21
Kris Humphries,Forward,81,235,28
Jeff Green,Forward,81,235,27
Jared Sullinger,Forward,81,260,21
Luc Mbah a Moute,Forward,80,230,27
Gerald Green,Forward,80,200,27
Elias Harris,Forward,80,239,24
Harrison Barnes,Forward,80,210,21
Gordon Hayward,Forward,80,207,23
Nicolas Batum,Forward,80,200,24
Dante Cunningham,Forward,80,230,26
Derrick Williams,Forward,80,241,22
Kenneth Faried,Forward,80,228,23
Wilson Chandler,Forward,80,225,26
Lance Thomas,Forward,80,225,25
Mike Miller,Forward,80,218,33
Tony Gaffney,Forward,80,205,28
Trevor Booker,Forward,80,240,25
Chris Singleton,Forward,80,230,23
Romero Osby,Forward,80,232,23
Moe Harkless,Forward,80,218,20
Tobias Harris,Forward,80,226,21
Udonis Haslem,Forward,80,235,33
Shane Battier,Forward,80,220,35
LeBron James,Forward,80,250,28
Eric Griffin,Forward,80,190,23
Anthony Tolliver,Forward,80,240,28
James Southerland,Forward,80,221,23
Mike Scott,Forward,80,237,25
DeMarre Carroll,Forward,80,212,27
Paul Millsap,Forward,80,253,28
Danny Granger,Forward,80,228,30
Paul George,Forward,80,210,23
Kyle Singler,Forward,80,230,25
Anthony Bennett,Forward,80,240,20
Luke Walton,Forward,80,235,33
Rudy Gay,Forward,80,230,27
Linas Kleiza,Forward,80,248,28
Chris Wright,Forward,80,218,24
Thaddeus Young,Forward,80,220,25
Royce White,Forward,80,260,22
Carmelo Anthony,Forward,80,230,29
Mirza Teletovic,Forward,80,235,28
Reggie Evans,Forward,80,245,33
Brandon Bass,Forward,80,250,28
Marcus Landry,Forward,79,230,27
Reggie Bullock,Forward,79,200,22
Matt Barnes,Forward,79,226,33
Jared Dudley,Forward,79,225,28
Draymond Green,Forward,79,230,23
Richard Jefferson,Forward,79,230,33
Richard Howell,Forward,79,250,22
Andre Roberson,Forward,79,206,21
Ryan Gomes,Forward,79,245,31
Mickael Gelabale,Forward,79,215,30
Jordan Hamilton,Forward,79,220,22
Damion James,Forward,79,220,25
Kawhi Leonard,Forward,79,225,22
Francisco Garcia,Forward,79,195,31
DeJuan Blair,Forward,79,270,24
Jae Crowder,Forward,79,240,23
Shawn Marion,Forward,79,228,35
Martell Webster,Forward,79,230,26
Jason Maxiell,Forward,79,260,30
Jeff Taylor,Forward,79,225,24
Michael Kidd-Gilchrist,Forward,79,232,19
Jeff Adrien,Forward,79,243,27
Khris Middleton,Forward,79,215,22
Caron Butler,Forward,79,228,33
Solomon Hill,Forward,79,220,22
Jimmy Butler,Forward,79,220,24
Tony Snell,Forward,79,200,21
Terrence Ross,Forward,79,197,22
Quincy Acy,Forward,79,233,22
Landry Fields,Forward,79,214,25
Arsalan Kazemi,Forward,79,226,23
Evan Turner,Forward,79,205,24
Metta World Peace,Forward,79,260,33
Paul Pierce,Forward,79,235,35
Gerald Wallace,Forward,79,220,31
Chuck Hayes,Forward,78,238,30
John Salmons,Forward,78,207,33
Xavier Henry,Forward,78,220,22
Andre Iguodala,Forward,78,207,29
Brandon Rush,Forward,78,210,28
E.J. Singler,Forward,78,215,23
Manu Ginobili,Forward,78,205,36
Deshaun Thomas,Forward,78,220,22
Quincy Pondexter,Forward,78,225,25
Vince Carter,Forward,78,220,36
Carlos Delfino,Forward,78,230,31
Sam Young,Forward,78,220,28
Corey Maggette,Forward,78,225,33
Alonzo Gee,Forward,78,219,26
Mickael Pietrus,Forward,78,215,31
Jerry Stackhouse,Forward,78,218,38
Alan Anderson,Forward,78,219,30
P.J. Tucker,Forward,77,225,28
Toure` Murry,Forward,77,200,23
Hasheem Thabeet,Center,87,263,26
Roy Hibbert,Center,86,278,26
Alex Len,Center,85,255,20
Rudy Gobert,Center,85,235,21
Meyers Leonard,Center,85,250,21
Timofey Mozgov,Center,85,250,27
Marc Gasol,Center,85,265,28
Spencer Hawes,Center,85,245,25
Tyson Chandler,Center,85,235,30
Viacheslav Kravtsov,Center,84,260,26
Robert Sacre,Center,84,263,24
Chris Kaman,Center,84,265,31
Ryan Hollins,Center,84,240,28
Byron Mullens,Center,84,275,24
Andrew Bogut,Center,84,260,28
Andris Biedrins,Center,84,240,27
Robin Lopez,Center,84,255,25
Steven Adams,Center,84,250,20
JaVale McGee,Center,84,252,25
Jeff Withey,Center,84,235,23
Kosta Koufos,Center,84,265,24
Omer Asik,Center,84,255,27
Fab Melo,Center,84,255,23
Greg Oden,Center,84,285,25
Justin Hamilton,Center,84,260,23
Brendan Haywood,Center,84,263,33
DeSagana Diop,Center,84,280,31
Johan Petro,Center,84,247,27
Miroslav Raduljica,Center,84,240,25
Tyler Zeller,Center,84,250,23
Andrew Bynum,Center,84,285,25
Aaron Gray,Center,84,270,28
Jonas Valanciunas,Center,84,257,21
Earl Barron,Center,84,250,32
Andrea Bargnani,Center,84,255,27
Brook Lopez,Center,84,265,25
Kelly Olynyk,Center,84,238,22
Colton Iverson,Center,84,255,24
Cole Aldrich,Center,83,245,24
DeMarcus Cousins,Center,83,270,23
Marcin Gortat,Center,83,240,29
DeAndre Jordan,Center,83,265,25
Festus Ezeli,Center,83,255,23
Jermaine O`Neal,Center,83,255,34
Enes Kanter,Center,83,267,21
Joel Freeland,Center,83,225,26
Chris Johnson,Center,83,210,28
Nikola Pekovic,Center,83,290,27
Gorgui Dieng,Center,83,245,23
Tiago Splitter,Center,83,240,28
Tim Duncan,Center,83,255,37
Greg Stiemsma,Center,83,260,27
Jordan Henriquez,Center,83,250,24
Marcus Camby,Center,83,235,39
Dwight Howard,Center,83,265,27
Samuel Dalembert,Center,83,250,32
Chris Bosh,Center,83,235,29
John Henson,Center,83,220,22
Zaza Pachulia,Center,83,275,29
Larry Sanders,Center,83,235,24
Ian Mahinmi,Center,83,230,26
Greg Monroe,Center,83,250,23
Anderson Varejao,Center,83,260,30
Joakim Noah,Center,83,232,28
Kwame Brown,Center,83,270,31
Andray Blatche,Center,83,260,27
Vitor Faverani,Center,83,260,25
Marreese Speights,Center,82,245,26
Daniel Orton,Center,82,255,23
Kendrick Perkins,Center,82,280,28
Ronny Turiaf,Center,82,245,30
Ed Davis,Center,82,228,24
Brandan Wright,Center,82,210,25
Bernard James,Center,82,240,28
Emeka Okafor,Center,82,255,30
Nikola Vucevic,Center,82,240,22
Chris Andersen,Center,82,228,35
Al Jefferson,Center,82,280,28
Ekpe Udoh,Center,82,240,26
Josh Harrellson,Center,82,275,24
Andre Drummond,Center,82,270,20
Nazr Mohammed,Center,82,250,36
Nerlens Noel,Center,82,228,19
Mason Plumlee,Center,82,235,23
Chris Wilcox,Center,82,235,31
Darrell Arthur,Center,81,235,25
Kevin Seraphin,Center,81,275,23
Joel Anthony,Center,81,245,31
Bismack Biyombo,Center,81,229,21
Luis Scola,Center,81,245,33
Lavoy Allen,Center,81,225,24
Boris Diaw,Center,80,235,31
